nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Touré,Parma,A,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),13
Juric,Monza,A,,,,,,,,,,13,1.0,13,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,13
Baldé,Monza,A,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,12
Casas,Venezia,A,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,12
Stroppa,Venezia,A,,,,,,,,,,12,1.0,12,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,12
Diego Carlos,Cagliari,A,32,27,1949,1,0,1.67,0.05,8,0,12,0.901,11,True,"match su cognome (squadra diversa, trasferimento presunto)",1.005,"nome completo -- titolarita' 78%, minuti giocati 57% del possibile",11
Camarda,Milan,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),10
Fini,Frosinone,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,cognome unico (probabile trasferimento),10
Frigan,Parma,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10
Lisman,Venezia,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10
Rrahmani,Venezia,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10
Alvini,Frosinone,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10
Di Francesco,Lecce,A,,,,,,,,,,10,1.0,10,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,10
Arkadiusz Milik,Juventus,A,31,2,36,0,0,0.26,0,0,0,10,0.862,9,True,match su cognome+squadra,0.861,"nome completo -- titolarita' 0%, minuti giocati 1% del possibile",8
Luca Moro,Sassuolo,A,24,14,211,0,0,0.83,0.26,1,0,10,0.867,9,True,match su cognome+squadra,0.874,"nome completo -- titolarita' 7%, minuti giocati 6% del possibile",8
