nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Juan David Cabal,Juventus,C,MF,COL,24,12,2,296,2,0,1.08,0.64,1,0,5.663777777777777,1,False,True,False
João Mário Lopes,Juventus,C,MF,POR,25,10,2,258,0,0,0.14,0.2,1,0,0.9783333333333333,1,False,True,False
Emil Holm,Juventus,C,MF,SWE,25,7,2,230,0,0,0.3,0.23,0,0,1.103111111111111,1,False,True,False
Vasilije Adžić,Juventus,C,MF,MNE,19,10,1,171,1,0,0.23,0.18,0,0,2.5444999999999998,1,False,True,False
Edon Zhegrova,Juventus,C,MF,KVX,26,19,0,382,0,0,0.76,1.03,1,0,2.3058888888888887,1,False,True,False
Daniel Maldini,Atalanta,C,MF,ITA,23,9,3,264,0,0,0.66,0.62,1,0,1.8396666666666666,1,False,True,False
Marco Brescianini,Atalanta,C,MF,ITA,25,9,0,182,1,0,0.2,0.1,1,0,2.3544444444444443,1,False,True,False
Ibrahim Sulemana,Bologna,C,MF,GHA,22,3,0,45,0,0,0,0,1,0,0.060000000000000005,1,False,True,False
Adrian Przyborek,Lazio,C,MF,POL,18,1,0,9,0,0,0.02,0,0,0,0.035,1,False,True,False
Oier Zarraga,Udinese,C,MF,ESP,26,24,2,475,0,0,0.6,0.13,2,0,1.7025555555555554,1,True,True,False
Juan Arizala,Udinese,C,MF,COL,19,10,1,191,0,0,0.03,0.14,0,0,0.6529444444444444,1,False,True,False
Sandi Lovrić,Udinese,C,MF,SVN,27,6,1,161,0,1,0.13,1.17,1,0,3.6482777777777775,1,False,True,False
Rui Modesto,Udinese,C,MF,ANG,25,3,0,119,0,1,0.01,0.44,0,0,2.7679444444444443,1,False,True,False
Abdoulaye Camara,Udinese,C,MF,FRA,16,1,0,12,0,0,0,0.04,0,0,0.06266666666666668,1,False,True,False
Daniel Boloca,Sassuolo,C,MF,ROU,26,2,2,135,0,0,0.1,0.04,0,0,0.5710000000000001,1,False,True,False
Edoardo Iannoni,Sassuolo,C,MF,ITA,24,15,1,260,1,0,0.76,0,3,0,2.8577777777777778,1,False,True,False
Darryl Bakola,Sassuolo,C,MF,FRA,17,6,1,128,0,1,0.13,0.47,0,0,2.9849444444444444,1,False,True,False
Andrea Ghion,Sassuolo,C,MF,ITA,25,1,0,10,0,0,0,0,0,0,0.022222222222222223,1,False,True,False
Christian Frangella,Sassuolo,C,MF,ITA,18,1,0,3,0,0,0,0,0,0,0.006666666666666667,1,False,True,False
Mathias Løvik,Parma,C,MF,NOR,21,9,5,471,0,0,0.18,0.14,0,0,1.7076666666666664,1,True,True,False
Ben Cremaschi,Parma,C,MF,USA,20,8,2,132,0,0,0.02,0.01,0,0,0.4773333333333334,1,False,True,False
Franco Carboni,Parma,C,MF,ITA,22,7,1,114,0,0,0,0,0,0,0.33333333333333337,1,False,True,False
Hernani,Parma,C,MF,BRA,31,4,0,73,0,0,0.04,0.03,0,0,0.21922222222222223,1,False,True,False
Tjaš Begić,Parma,C,MF,SVN,22,1,0,1,0,0,0,0,0,0,0.0022222222222222222,1,False,True,False
Ivan Ilić,Torino,C,MF,SRB,24,8,5,416,0,0,0,0.72,2,0,1.8924444444444442,1,False,True,False
Niels Nkounkou,Torino,C,MFDF,FRA,24,11,3,355,0,1,0.22,0.89,3,0,3.9748888888888887,1,False,True,False
Alieu Njie,Torino,C,MFFW,SWE,20,15,2,299,1,1,1.21,0.16,2,0,5.645944444444444,1,False,True,False
Faustino Anjorin,Torino,C,MF,ENG,23,15,1,289,0,0,0.6,0.12,1,0,1.2402222222222221,1,False,True,False
Mattia Felici,Cagliari,C,MF,ITA,24,12,4,412,2,1,1.34,0.76,3,0,8.404555555555556,1,False,True,False
Joseph Liteta,Cagliari,C,MF,ZAM,19,4,4,264,0,0,0,0,0,0,0.9066666666666667,1,False,True,False
Zito Luvumbo,Cagliari,C,MFFW,ANG,23,12,2,329,0,0,1.15,0.39,0,0,2.104611111111111,1,False,True,False
Nicolò Cavuoti,Cagliari,C,MF,ITA,22,4,0,44,0,0,0,0,0,0,0.09777777777777778,1,False,True,False
Mattia Viti,Fiorentina,C,MFDF,ITA,23,10,2,265,0,0,0,0,3,1,0.0,1,False,True,False
Tariq Lamptey,Fiorentina,C,MF,GHA,24,2,1,25,0,0,0,0.12,0,0,0.24355555555555553,1,False,True,False
Amir Richardson,Fiorentina,C,MF,MAR,23,2,0,42,0,0,0.01,0,0,0,0.10083333333333333,1,False,True,False
Abdelhamid Sabiri,Fiorentina,C,MF,MAR,28,1,0,27,0,0,0.01,0.14,0,0,0.1935,1,False,True,False
Piergiorgio Bonanno,Fiorentina,C,MF,ITA,18,0,0,0,0,0,,,0,0,0.0,1,False,False,True
Salvatore Cianciulli,Fiorentina,C,MF,ITA,16,0,0,0,0,0,,,0,0,0.0,1,False,False,True
Lapo Deli,Fiorentina,C,MF,ITA,19,0,0,0,0,0,,,0,0,0.0,1,False,False,True
Antonio Pirrò,Fiorentina,C,MF,ITA,17,0,0,0,0,0,,,0,0,0.0,1,False,False,True
Gianluca Mancini,Roma,D,DF,ITA,29,36,36,3059,4,2,2.39,2.72,9,0,34.12,15,True,True,False
Strahinja Pavlović,Milan,D,DF,SRB,24,34,33,2869,5,1,3.91,0.72,4,0,34.488,15,True,True,False
Pierre Kalulu,Juventus,D,DFMF,FRA,25,37,37,3281,2,4,1.45,5.54,4,1,32.753,15,True,True,False
Oumar Solet,Udinese,D,DF,FRA,25,35,34,2959,3,1,2.9,2.3,1,0,30.840000000000003,14,True,True,False
Marc-Oliver Kempf,Como,D,DF,GER,30,34,27,2326,4,1,3.28,1.1,3,0,28.427,13,True,True,False
Gleison Bremer,Juventus,D,DF,BRA,28,26,25,2171,4,3,2.71,0.41,5,0,28.528499999999998,13,True,True,False
Tarik Muharemovic,Sassuolo,D,DF,BIH,22,32,32,2835,2,2,2.83,0.93,7,0,27.8905,13,True,True,False
Dodô,Fiorentina,D,DFMF,BRA,26,36,36,3134,1,2,1.38,5.39,7,0,28.5875,13,True,True,False
Manuel Akanji,Inter,D,DF,SUI,30,33,31,2821,2,0,2.3,0.33,4,0,24.973499999999998,12,True,True,False
Evan N'Dicka,Roma,D,DF,CIV,25,31,31,2680,3,0,2.39,0.56,5,0,26.502999999999997,12,True,True,False
Mario Hermoso,Roma,D,DF,ESP,30,27,25,2085,3,2,2.19,0.86,9,0,24.483,12,True,True,False
Jacobo Ramón,Como,D,DF,ESP,20,32,30,2742,2,0,5.47,1.03,11,1,26.046499999999998,12,True,True,False
Juan Miranda,Bologna,D,DF,ESP,25,32,29,2573,1,3,0.52,4.5,6,0,24.657999999999998,12,True,True,False
Thomas Kristensen,Udinese,D,DF,DEN,23,28,28,2472,3,0,1.88,0.22,4,0,24.451,12,True,True,False
Enrico Delprato,Parma,D,DFMF,ITA,25,35,34,2951,2,0,2.26,0.78,5,0,26.189999999999998,12,True,True,False
Saúl Coco,Torino,D,DF,EQG,26,35,35,3088,1,1,1.16,0.76,3,0,25.075999999999997,12,True,True,False
Alessandro Bastoni,Inter,D,DF,ITA,26,28,28,2239,1,4,1.69,3.2,6,0,24.355999999999998,11,True,True,False
