nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match
Diallo,Parma,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Forson,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Loubao,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Martins,Monza,A,,,,,,,,,,3,1.0,3,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Barcella,Frosinone,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Burnete,Lecce,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Cichero,Frosinone,A,,,,,,,,,,2,1.0,2,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Mattia Mosconi,Inter,A,18,2,27,0,0,0.17,0,0,0,1,0.861,1,True,match su cognome+squadra
Matteo Lavelli,Inter,A,18,1,8,0,0,0,0,0,0,1,0.86,1,True,match su cognome+squadra
Giuseppe Ambrosino,Napoli,A,21,3,38,0,0,0,0,0,0,1,0.86,1,True,match su cognome+squadra
Riccardo Braschi,Fiorentina,A,18,2,105,0,0,0.15,0,0,0,1,0.862,1,True,match su cognome+squadra
Balentien,Milan,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Colley,Frosinone,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Gori,Frosinone,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Jovic,Lecce,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
LAERKE,Lecce,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
LONTANI,Parma,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Rao,Napoli,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Spinaccè,Inter,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Vigliotti,Napoli,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Vinciati,Udinese,A,,,,,,,,,,1,1.0,1,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Nicolás Paz,Como,C,20,35,2878,12,6,8.9,7.03,5,0,59,1.339,79,True,match su cognome+squadra
Scott McTominay,Napoli,C,28,33,2791,10,3,12.43,2.01,1,0,60,1.232,74,True,match su cognome+squadra
Hakan Çalhanoğlu,Inter,C,31,22,1639,9,4,5.15,3.48,7,0,60,1.165,70,True,match su cognome+squadra
Christian Pulisic,Milan,C,26,30,1609,8,4,9.54,5.04,0,0,57,1.192,68,True,match su cognome+squadra
Nikola Vlašić,Torino,C,27,37,3043,8,3,7.41,4.68,7,0,52,1.195,62,True,match su cognome+squadra
Riccardo Orsolini,Bologna,C,28,35,2111,10,1,10.89,1.71,2,0,53,1.164,62,True,match su cognome+squadra
Nicolò Zaniolo,Udinese,C,26,32,2257,5,6,6.14,5.69,8,0,48,1.182,57,True,match su cognome+squadra
Lucas Da Cunha,Como,C,24,36,2739,6,4,6.93,6.02,4,0,45,1.182,53,True,match su cognome+squadra
Adrien Rabiot,Milan,C,30,29,2550,6,4,4.36,3.94,6,1,46,1.132,52,True,match su cognome+squadra
Weston McKennie,Juventus,C,26,36,2835,5,5,8.64,5.39,5,0,42,1.193,50,True,match su cognome+squadra
Nicolò Barella,Inter,C,28,34,2517,3,8,3.82,7.97,7,0,40,1.199,48,True,match su cognome+squadra
Martin Baturina,Como,C,22,29,1569,6,3,1.9,6.7,0,0,44,1.102,48,True,match su cognome+squadra
Lorenzo Pellegrini,Roma,C,29,24,1463,4,2,4.78,3,2,0,46,1.04,48,True,match su cognome+squadra
Francisco Conceição,Juventus,C,22,31,2078,3,5,8.49,4.16,3,0,41,1.133,46,True,match su cognome+squadra
Kevin De Bruyne,Napoli,C,34,18,1165,5,2,3.52,4.02,1,0,44,1.045,46,True,match su cognome+squadra
Albert Guðmundsson,Fiorentina,C,28,33,2250,5,4,5.8,3.78,4,1,40,1.118,45,True,match su cognome+squadra
Luka Modrić,Milan,C,39,34,2811,2,3,1.25,4.03,4,0,43,1.047,45,True,match su cognome+squadra
Alisson Santos,Napoli,C,22,14,834,4,0,1.51,1.61,1,0,46,0.949,44,True,match su cognome+squadra
Arthur Atta,Fiorentina,C,22,32,2557,5,3,4.23,3.25,3,0,39,1.101,43,True,"match su cognome (squadra diversa, trasferimento presunto)"
Piotr Zieliński,Inter,C,31,34,2045,6,3,2.1,4.24,3,0,39,1.096,43,True,match su cognome+squadra
Kristian Thorstvedt,Sassuolo,C,26,32,2460,4,4,6.64,2.63,9,0,38,1.11,42,True,match su cognome+squadra
Matteo Politano,Napoli,C,31,34,2200,2,5,3.13,5.6,4,0,38,1.094,42,True,match su cognome+squadra
Manu Koné,Roma,C,24,29,2456,2,3,1.94,3.5,2,0,40,1.038,42,True,match su cognome+squadra
Mattia Zaccagni,Lazio,C,30,26,2104,3,0,6.38,2.79,6,1,41,1.003,41,True,match su cognome+squadra
Alexis Saelemaekers,Milan,C,26,35,2788,3,3,3.6,4.79,5,0,38,1.085,41,True,match su cognome+squadra
Federico Bernardeschi,Bologna,C,31,29,1217,4,2,3.18,3.57,3,0,40,1.023,41,True,match su cognome+squadra
Máximo Perrone,Como,C,22,36,2742,3,4,2.49,2.54,8,0,35,1.076,38,True,match su cognome+squadra
Ederson,Atalanta,C,,,,,,,,,,38,1.0,38,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta)
Maxence Caqueret,Como,C,25,30,1485,2,6,1.74,2.78,3,0,35,1.06,37,True,match su cognome+squadra
Khéphren Thuram,Juventus,C,24,35,2442,3,3,4.06,2.65,2,0,35,1.063,37,True,match su cognome+squadra
Nicolò Fagioli,Fiorentina,C,24,33,2554,2,3,1.9,5.22,5,0,33,1.054,35,True,match su cognome+squadra
Rolando Mandragora,Fiorentina,C,28,34,2421,7,3,4.7,2.88,7,0,30,1.13,34,True,match su cognome+squadra
Ismaël Koné,Sassuolo,C,23,35,2737,6,0,5.08,1.76,5,1,32,1.051,34,True,match su cognome+squadra
Henrikh Mkhitaryan,Inter,C,36,30,1560,4,1,6.04,3.31,5,0,33,1.031,34,True,match su cognome+squadra
Manuel Locatelli,Juventus,C,27,36,2994,1,2,2.42,3.83,9,0,33,1.024,34,True,match su cognome+squadra
